-4.199999809,7.10E-13,-4.199999809,2.89E-12,-4.199999809,1.58E-12,-4.199999809,2.69E-12,-4.199999809,1.04E-12,-4.199999809,1.26E-12,-4.199999809,3.30E-12,-4.199999809,2.86E-12,-4.199999809,2.64E-12,-4.199999809,1.20E-12,-4.199999809,3.05E-12,-4.199999809,6.97E-14,-4.199999809,3.40E-12,-4.199999809,5.57E-13,-4.199999809,2.99E-12,-4.199999809,1.49E-13,-4.199999809,3.97E-12,-4.199999809,4.80E-14,-4.199999809,2.31E-12,-4.199999809,1.22E-12,-4.199999809,4.30E-13,-4.199999809,3.18E-12,-4.199999809,1.32E-13,-4.199999809,1.67E-12,-4.199999809,2.21E-13,-4.199999809,1.83E-12,-4.199999809,1.89E-12,-4.199999809,1.21E-12,-4.199999809,3.57E-12,-4.199999809,1.29E-12,-4.199999809,2.75E-13,-4.199999809,3.23E-12,-4.199999809,4.37E-13,-4.199999809,2.34E-12,-4.199999809,2.78E-12,-4.199999809,6.00E-15,-4.199999809,7.43E-13,-4.199999809,3.23E-12,-4.199999809,1.56E-12,-4.199999809,2.50E-13,-4.199999809,2.50E-12,-4.199999809,1.05E-12,-4.199999809,2.72E-13,-4.199999809,2.60E-12,-4.199999809,2.72E-12,-4.199999809,7.70E-13,-4.199999809,2.50E-12,-4.199999809,1.97E-12
-4,9.13E-13,-4,8.37E-13,-4,2.25E-13,-4,3.07E-12,-4,2.46E-15,-4,2.28E-14,-4,3.47E-12,-4,1.74E-12,-4,3.29E-12,-4,1.24E-12,-4,2.89E-12,-4,7.03E-13,-4,3.53E-12,-4,3.73E-13,-4,2.59E-12,-4,3.00E-13,-4,1.68E-12,-4,5.17E-13,-4,5.67E-13,-4,1.83E-12,-4,1.24E-13,-4,3.47E-12,-4,7.33E-13,-4,1.27E-12,-4,6.13E-14,-4,1.45E-12,-4,1.91E-12,-4,8.57E-13,-4,3.43E-12,-4,1.42E-12,-4,4.90E-13,-4,3.93E-12,-4,8.23E-13,-4,2.38E-12,-4,3.37E-12,-4,2.16E-12,-4,9.27E-13,-4,3.93E-12,-4,2.55E-12,-4,6.33E-13,-4,5.23E-13,-4,2.35E-12,-4,1.07E-12,-4,6.83E-13,-4,3.33E-12,-4,9.10E-13,-4,1.95E-12,-4,3.70E-12
-3.799999952,1.99E-13,-3.799999952,4.13E-13,-3.799999952,5.27E-13,-3.799999952,2.87E-12,-3.799999952,2.62E-12,-3.799999952,4.00E-13,-3.799999952,1.75E-12,-3.799999952,1.37E-12,-3.799999952,3.06E-12,-3.799999952,1.91E-12,-3.799999952,2.67E-12,-3.799999952,3.97E-14,-3.799999952,1.13E-12,-3.799999952,1.17E-12,-3.799999952,1.31E-12,-3.799999952,4.67E-13,-3.799999952,8.20E-13,-3.799999952,2.12E-12,-3.799999952,7.20E-13,-3.799999952,3.26E-12,-3.799999952,5.37E-13,-3.799999952,1.69E-12,-3.799999952,1.29E-12,-3.799999952,7.10E-13,-3.799999952,2.08E-13,-3.799999952,6.43E-13,-3.799999952,2.24E-12,-3.799999952,1.23E-12,-3.799999952,1.67E-12,-3.799999952,2.37E-12,-3.799999952,1.83E-13,-3.799999952,1.59E-12,-3.799999952,1.23E-12,-3.799999952,1.34E-12,-3.799999952,2.65E-12,-3.799999952,1.84E-12,-3.799999952,5.17E-13,-3.799999952,1.21E-12,-3.799999952,2.53E-12,-3.799999952,1.16E-12,-3.799999952,2.72E-13,-3.799999952,3.06E-12,-3.799999952,1.06E-12,-3.799999952,1.96E-13,-3.799999952,3.20E-12,-3.799999952,1.94E-12,-3.799999952,9.00E-14,-3.799999952,2.73E-12
-3.599999905,2.46E-15,-3.599999905,1.66E-13,-3.599999905,1.44E-14,-3.599999905,1.01E-12,-3.599999905,1.96E-12,-3.599999905,5.93E-15,-3.599999905,1.48E-12,-3.599999905,3.60E-14,-3.599999905,3.47E-12,-3.599999905,2.51E-12,-3.599999905,5.83E-13,-3.599999905,2.33E-12,-3.599999905,1.06E-12,-3.599999905,4.00E-12,-3.599999905,5.87E-13,-3.599999905,1.84E-12,-3.599999905,9.70E-13,-3.599999905,2.02E-12,-3.599999905,8.57E-13,-3.599999905,3.24E-12,-3.599999905,2.32E-12,-3.599999905,1.57E-12,-3.599999905,1.79E-12,-3.599999905,2.75E-13,-3.599999905,6.83E-13,-3.599999905,2.25E-13,-3.599999905,3.27E-12,-3.599999905,1.65E-12,-3.599999905,1.91E-13,-3.599999905,2.31E-12,-3.599999905,1.08E-14,-3.599999905,1.14E-12,-3.599999905,2.32E-12,-3.599999905,3.33E-13,-3.599999905,2.11E-12,-3.599999905,2.76E-12,-3.599999905,8.23E-13,-3.599999905,1.47E-12,-3.599999905,2.78E-12,-3.599999905,1.63E-12,-3.599999905,1.15E-12,-3.599999905,2.13E-12,-3.599999905,9.10E-13,-3.599999905,7.17E-13,-3.599999905,2.39E-12,-3.599999905,2.56E-12,-3.599999905,6.60E-13,-3.599999905,2.49E-12
-3.400000095,2.78E-12,-3.400000095,5.90E-13,-3.400000095,4.13E-13,-3.400000095,8.37E-13,-3.400000095,3.22E-12,-3.400000095,2.76E-12,-3.400000095,1.05E-12,-3.400000095,1.01E-12,-3.400000095,3.47E-13,-3.400000095,3.14E-12,-3.400000095,6.63E-13,-3.400000095,2.63E-12,-3.400000095,7.27E-13,-3.400000095,2.97E-12,-3.400000095,5.40E-13,-3.400000095,1.45E-12,-3.400000095,5.23E-13,-3.400000095,3.90E-12,-3.400000095,3.05E-13,-3.400000095,2.81E-12,-3.400000095,2.32E-12,-3.400000095,3.33E-13,-3.400000095,2.75E-12,-3.400000095,7.60E-13,-3.400000095,1.94E-12,-3.400000095,1.07E-13,-3.400000095,1.50E-12,-3.400000095,7.10E-13,-3.400000095,3.09E-13,-3.400000095,3.11E-12,-3.400000095,2.01E-12,-3.400000095,8.37E-13,-3.400000095,1.35E-12,-3.400000095,1.53E-12,-3.400000095,9.37E-13,-3.400000095,3.12E-12,-3.400000095,6.43E-13,-3.400000095,7.33E-14,-3.400000095,3.57E-12,-3.400000095,1.86E-12,-3.400000095,4.60E-13,-3.400000095,2.58E-12,-3.400000095,3.03E-12,-3.400000095,3.47E-13,-3.400000095,5.90E-13,-3.400000095,2.66E-12,-3.400000095,2.92E-13,-3.400000095,1.96E-12
-3.200000048,2.86E-12,-3.200000048,1.15E-12,-3.200000048,2.53E-12,-3.200000048,7.53E-13,-3.200000048,3.63E-12,-3.200000048,2.63E-12,-3.200000048,2.33E-13,-3.200000048,1.26E-12,-3.200000048,8.87E-13,-3.200000048,2.62E-12,-3.200000048,4.43E-13,-3.200000048,1.88E-12,-3.200000048,1.90E-12,-3.200000048,1.96E-12,-3.200000048,3.05E-13,-3.200000048,3.70E-12,-3.200000048,2.46E-15,-3.200000048,2.48E-12,-3.200000048,1.63E-12,-3.200000048,9.27E-13,-3.200000048,2.89E-12,-3.200000048,9.30E-13,-3.200000048,2.51E-12,-3.200000048,8.53E-13,-3.200000048,2.45E-12,-3.200000048,1.12E-13,-3.200000048,5.73E-13,-3.200000048,2.48E-12,-3.200000048,6.03E-13,-3.200000048,2.31E-12,-3.200000048,1.42E-12,-3.200000048,1.31E-12,-3.200000048,3.31E-12,-3.200000048,1.86E-12,-3.200000048,1.31E-12,-3.200000048,2.15E-12,-3.200000048,1.37E-12,-3.200000048,4.87E-13,-3.200000048,1.05E-12,-3.200000048,2.09E-12,-3.200000048,3.31E-13,-3.200000048,9.77E-13,-3.200000048,5.60E-12,-3.200000048,9.53E-13,-3.200000048,6.93E-13,-3.200000048,4.00E-12,-3.200000048,2.21E-13,-3.200000048,1.55E-12
-3,3.70E-12,-3,1.27E-12,-3,2.48E-12,-3,4.07E-13,-3,2.35E-12,-3,4.63E-12,-3,3.31E-13,-3,1.14E-12,-3,3.93E-13,-3,1.61E-12,-3,8.67E-14,-3,2.79E-12,-3,6.67E-13,-3,6.83E-13,-3,1.54E-13,-3,2.46E-12,-3,1.37E-12,-3,1.15E-12,-3,1.83E-12,-3,1.54E-13,-3,3.57E-12,-3,3.90E-13,-3,1.49E-12,-3,2.36E-12,-3,3.53E-12,-3,2.06E-12,-3,5.00E-13,-3,1.82E-12,-3,3.33E-13,-3,9.03E-13,-3,2.42E-12,-3,1.62E-13,-3,2.50E-12,-3,1.09E-12,-3,3.93E-13,-3,1.16E-12,-3,2.14E-12,-3,1.21E-12,-3,6.97E-14,-3,3.87E-12,-3,1.83E-12,-3,1.20E-12,-3,1.46E-12,-3,2.47E-12,-3,1.15E-12,-3,2.81E-12,-3,4.00E-12,-3,1.26E-12
-2.799999952,2.76E-12,-2.799999952,2.79E-12,-2.799999952,2.69E-12,-2.799999952,1.60E-12,-2.799999952,1.52E-12,-2.799999952,2.32E-12,-2.799999952,1.01E-12,-2.799999952,3.17E-12,-2.799999952,7.00E-13,-2.799999952,1.37E-12,-2.799999952,2.39E-12,-2.799999952,2.16E-12,-2.799999952,2.15E-12,-2.799999952,3.83E-13,-2.799999952,1.74E-12,-2.799999952,1.95E-12,-2.799999952,2.77E-12,-2.799999952,7.33E-13,-2.799999952,4.37E-12,-2.799999952,5.40E-13,-2.799999952,3.04E-12,-2.799999952,1.71E-12,-2.799999952,1.21E-12,-2.799999952,3.63E-12,-2.799999952,2.74E-12,-2.799999952,1.91E-12,-2.799999952,1.24E-13,-2.799999952,3.73E-12,-2.799999952,2.34E-12,-2.799999952,2.33E-13,-2.799999952,3.50E-12,-2.799999952,1.79E-13,-2.799999952,4.83E-13,-2.799999952,2.48E-12,-2.799999952,5.67E-13,-2.799999952,5.03E-13,-2.799999952,2.59E-12,-2.799999952,3.90E-13,-2.799999952,8.07E-13,-2.799999952,2.44E-12,-2.799999952,3.13E-12,-2.799999952,3.50E-13,-2.799999952,1.43E-12,-2.799999952,3.57E-12,-2.799999952,8.07E-13,-2.799999952,1.12E-13,-2.799999952,2.63E-12,-2.799999952,5.83E-13
-2.599999905,1.15E-12,-2.599999905,2.25E-12,-2.599999905,2.92E-12,-2.599999905,1.98E-12,-2.599999905,1.74E-13,-2.599999905,2.33E-12,-2.599999905,2.73E-12,-2.599999905,3.37E-12,-2.599999905,7.27E-13,-2.599999905,8.17E-14,-2.599999905,3.21E-12,-2.599999905,1.42E-12,-2.599999905,2.48E-12,-2.599999905,1.18E-12,-2.599999905,1.98E-12,-2.599999905,1.91E-12,-2.599999905,2.66E-12,-2.599999905,9.40E-13,-2.599999905,2.34E-12,-2.599999905,2.13E-13,-2.599999905,1.23E-12,-2.599999905,2.64E-12,-2.599999905,1.23E-12,-2.599999905,2.98E-12,-2.599999905,1.76E-12,-2.599999905,2.27E-12,-2.599999905,2.16E-13,-2.599999905,9.87E-13,-2.599999905,1.44E-12,-2.599999905,1.02E-12,-2.599999905,2.84E-12,-2.599999905,1.52E-12,-2.599999905,5.40E-13,-2.599999905,3.43E-12,-2.599999905,3.16E-12,-2.599999905,9.50E-14,-2.599999905,3.93E-12,-2.599999905,2.34E-12,-2.599999905,3.63E-13,-2.599999905,2.88E-13,-2.599999905,2.47E-12,-2.599999905,1.03E-12,-2.599999905,3.47E-13,-2.599999905,3.22E-12,-2.599999905,2.18E-12,-2.599999905,1.13E-12,-2.599999905,2.72E-12,-2.599999905,2.52E-12
-2.400000095,8.87E-13,-2.400000095,1.67E-12,-2.400000095,5.07E-13,-2.400000095,3.10E-12,-2.400000095,1.74E-13,-2.400000095,9.37E-13,-2.400000095,3.16E-12,-2.400000095,3.53E-12,-2.400000095,2.74E-12,-2.400000095,8.17E-14,-2.400000095,1.95E-12,-2.400000095,8.00E-13,-2.400000095,3.50E-12,-2.400000095,1.07E-12,-2.400000095,4.10E-12,-2.400000095,4.70E-13,-2.400000095,2.88E-12,-2.400000095,2.28E-14,-2.400000095,2.10E-12,-2.400000095,2.27E-12,-2.400000095,1.45E-12,-2.400000095,2.50E-12,-2.400000095,7.03E-13,-2.400000095,2.52E-12,-2.400000095,3.05E-13,-2.400000095,4.07E-12,-2.400000095,1.03E-12,-2.400000095,6.60E-13,-2.400000095,3.40E-12,-2.400000095,3.43E-13,-2.400000095,1.67E-12,-2.400000095,3.09E-12,-2.400000095,2.43E-15,-2.400000095,2.53E-12,-2.400000095,2.92E-12,-2.400000095,3.09E-13,-2.400000095,1.70E-12,-2.400000095,2.37E-12,-2.400000095,3.97E-13,-2.400000095,9.77E-13,-2.400000095,3.09E-12,-2.400000095,1.73E-12,-2.400000095,1.24E-13,-2.400000095,1.64E-12,-2.400000095,1.41E-12,-2.400000095,6.20E-13,-2.400000095,2.42E-12,-2.400000095,1.31E-12
