drain TotalCurrent(IdVgdg_n77_des) X,drain TotalCurrent(IdVgdg_n77_des) Y,drain TotalCurrent(IdVgdg_n78_des) X,drain TotalCurrent(IdVgdg_n78_des) Y,drain TotalCurrent(IdVgdg_n79_des) X,drain TotalCurrent(IdVgdg_n79_des) Y,drain TotalCurrent(IdVgdg_n80_des) X,drain TotalCurrent(IdVgdg_n80_des) Y,drain TotalCurrent(IdVgdg_n81_des) X,drain TotalCurrent(IdVgdg_n81_des) Y,drain TotalCurrent(IdVgdg_n82_des) X,drain TotalCurrent(IdVgdg_n82_des) Y,drain TotalCurrent(IdVgdg_n83_des) X,drain TotalCurrent(IdVgdg_n83_des) Y,drain TotalCurrent(IdVgdg_n84_des) X,drain TotalCurrent(IdVgdg_n84_des) Y,drain TotalCurrent(IdVgdg_n85_des) X,drain TotalCurrent(IdVgdg_n85_des) Y,drain TotalCurrent(IdVgdg_n86_des) X,drain TotalCurrent(IdVgdg_n86_des) Y,drain TotalCurrent(IdVgdg_n87_des) X,drain TotalCurrent(IdVgdg_n87_des) Y,drain TotalCurrent(IdVgdg_n88_des) X,drain TotalCurrent(IdVgdg_n88_des) Y,drain TotalCurrent(IdVgdg_n89_des) X,drain TotalCurrent(IdVgdg_n89_des) Y,drain TotalCurrent(IdVgdg_n90_des) X,drain TotalCurrent(IdVgdg_n90_des) Y,drain TotalCurrent(IdVgdg_n91_des) X,drain TotalCurrent(IdVgdg_n91_des) Y,drain TotalCurrent(IdVgdg_n92_des) X,drain TotalCurrent(IdVgdg_n92_des) Y,drain TotalCurrent(IdVgdg_n93_des) X,drain TotalCurrent(IdVgdg_n93_des) Y,drain TotalCurrent(IdVgdg_n94_des) X,drain TotalCurrent(IdVgdg_n94_des) Y,drain TotalCurrent(IdVgdg_n95_des) X,drain TotalCurrent(IdVgdg_n95_des) Y,drain TotalCurrent(IdVgdg_n96_des) X,drain TotalCurrent(IdVgdg_n96_des) Y,drain TotalCurrent(IdVgdg_n97_des) X,drain TotalCurrent(IdVgdg_n97_des) Y,drain TotalCurrent(IdVgdg_n98_des) X,drain TotalCurrent(IdVgdg_n98_des) Y,drain TotalCurrent(IdVgdg_n99_des) X,drain TotalCurrent(IdVgdg_n99_des) Y,drain TotalCurrent(IdVgdg_n100_des) X,drain TotalCurrent(IdVgdg_n100_des) Y,drain TotalCurrent(IdVgdg_n101_des) X,drain TotalCurrent(IdVgdg_n101_des) Y,drain TotalCurrent(IdVgdg_n102_des) X,drain TotalCurrent(IdVgdg_n102_des) Y,drain TotalCurrent(IdVgdg_n103_des) X,drain TotalCurrent(IdVgdg_n103_des) Y,drain TotalCurrent(IdVgdg_n104_des) X,drain TotalCurrent(IdVgdg_n104_des) Y,drain TotalCurrent(IdVgdg_n105_des) X,drain TotalCurrent(IdVgdg_n105_des) Y,drain TotalCurrent(IdVgdg_n106_des) X,drain TotalCurrent(IdVgdg_n106_des) Y,drain TotalCurrent(IdVgdg_n178_des) X,drain TotalCurrent(IdVgdg_n178_des) Y,drain TotalCurrent(IdVgdg_n183_des) X,drain TotalCurrent(IdVgdg_n183_des) Y,drain TotalCurrent(IdVgdg_n188_des) X,drain TotalCurrent(IdVgdg_n188_des) Y,drain TotalCurrent(IdVgdg_n193_des) X,drain TotalCurrent(IdVgdg_n193_des) Y,drain TotalCurrent(IdVgdg_n198_des) X,drain TotalCurrent(IdVgdg_n198_des) Y,drain TotalCurrent(IdVgdg_n203_des) X,drain TotalCurrent(IdVgdg_n203_des) Y,drain TotalCurrent(IdVgdg_n208_des) X,drain TotalCurrent(IdVgdg_n208_des) Y,drain TotalCurrent(IdVgdg_n213_des) X,drain TotalCurrent(IdVgdg_n213_des) Y,drain TotalCurrent(IdVgdg_n218_des) X,drain TotalCurrent(IdVgdg_n218_des) Y,drain TotalCurrent(IdVgdg_n223_des) X,drain TotalCurrent(IdVgdg_n223_des) Y,drain TotalCurrent(IdVgdg_n228_des) X,drain TotalCurrent(IdVgdg_n228_des) Y,drain TotalCurrent(IdVgdg_n233_des) X,drain TotalCurrent(IdVgdg_n233_des) Y,drain TotalCurrent(IdVgdg_n238_des) X,drain TotalCurrent(IdVgdg_n238_des) Y,drain TotalCurrent(IdVgdg_n243_des) X,drain TotalCurrent(IdVgdg_n243_des) Y,drain TotalCurrent(IdVgdg_n248_des) X,drain TotalCurrent(IdVgdg_n248_des) Y,drain TotalCurrent(IdVgdg_n253_des) X,drain TotalCurrent(IdVgdg_n253_des) Y,drain TotalCurrent(IdVgdg_n258_des) X,drain TotalCurrent(IdVgdg_n258_des) Y,drain TotalCurrent(IdVgdg_n263_des) X,drain TotalCurrent(IdVgdg_n263_des) Y,drain TotalCurrent(IdVgdg_n268_des) X,drain TotalCurrent(IdVgdg_n268_des) Y
-4,5.35E-11,-4,9.15E-08,-4,1.55E-07,-4,1.92E-07,-4,2.39E-07,-4,2.52E-07,-4,2.72E-07,-4,2.84E-07,-4,2.88E-07,-4,2.91E-07,-4,3.18E-07,-4,3.23E-07,-4,3.26E-07,-4,3.38E-07,-4,3.55E-07,-4,3.62E-07,-4,3.65E-07,-4,4.02E-07,-4,4.14E-07,-4,4.25E-07,-4,4.48E-07,-4,4.56E-07,-4,4.71E-07,-4,4.71E-07,-4,4.92E-07,-4,3.02E-07,-4,3.36E-07,-4,3.72E-07,-4,3.97E-07,-4,4.23E-07,-4,4.38E-07,-4,4.52E-07,-4,4.64E-07,-4,4.88E-07,-4,4.87E-07,-4,4.95E-07,-4,4.55E-07,-4,4.69E-07,-4,4.72E-07,-4,5.01E-07,-4,5.02E-07,-4,5.14E-07,-4,5.34E-07,-4,5.50E-07,-4,5.60E-07,-4,5.77E-07,-4,5.82E-07,-4,5.69E-07,-4,5.93E-07
-3.799999952,1.21E-10,-3.799999952,1.63E-07,-3.799999952,2.85E-07,-3.799999952,3.62E-07,-3.799999952,4.43E-07,-3.799999952,4.78E-07,-3.799999952,4.62E-07,-3.799999952,4.90E-07,-3.799999952,5.02E-07,-3.799999952,5.12E-07,-3.799999952,5.35E-07,-3.799999952,5.45E-07,-3.799999952,5.61E-07,-3.799999952,5.78E-07,-3.799999952,6.08E-07,-3.799999952,6.18E-07,-3.799999952,6.19E-07,-3.799999952,6.75E-07,-3.799999952,6.86E-07,-3.799999952,7.01E-07,-3.799999952,7.27E-07,-3.799999952,7.47E-07,-3.799999952,7.64E-07,-3.799999952,7.69E-07,-3.799999952,7.87E-07,-3.799999952,5.10E-07,-3.799999952,5.73E-07,-3.799999952,6.09E-07,-3.799999952,6.52E-07,-3.799999952,6.82E-07,-3.799999952,7.04E-07,-3.799999952,7.19E-07,-3.799999952,7.44E-07,-3.799999952,7.67E-07,-3.799999952,7.79E-07,-3.799999952,8.02E-07,-3.799999952,8.34E-07,-3.799999952,8.63E-07,-3.799999952,8.74E-07,-3.799999952,9.10E-07,-3.799999952,9.22E-07,-3.799999952,9.51E-07,-3.799999952,9.76E-07,-3.799999952,9.93E-07,-3.799999952,1.01E-06,-3.799999952,1.03E-06,-3.799999952,1.03E-06,-3.799999952,1.02E-06,-3.799999952,1.06E-06
-3.599999905,1.63E-10,-3.599999905,2.58E-07,-3.599999905,4.67E-07,-3.599999905,5.68E-07,-3.599999905,6.85E-07,-3.599999905,7.56E-07,-3.599999905,8.47E-07,-3.599999905,8.97E-07,-3.599999905,9.26E-07,-3.599999905,9.51E-07,-3.599999905,9.91E-07,-3.599999905,1.01E-06,-3.599999905,1.03E-06,-3.599999905,1.06E-06,-3.599999905,1.10E-06,-3.599999905,1.13E-06,-3.599999905,1.13E-06,-3.599999905,1.20E-06,-3.599999905,1.24E-06,-3.599999905,1.26E-06,-3.599999905,1.30E-06,-3.599999905,1.33E-06,-3.599999905,1.35E-06,-3.599999905,1.36E-06,-3.599999905,1.40E-06,-3.599999905,9.13E-07,-3.599999905,1.02E-06,-3.599999905,1.08E-06,-3.599999905,1.14E-06,-3.599999905,1.19E-06,-3.599999905,1.24E-06,-3.599999905,1.26E-06,-3.599999905,1.30E-06,-3.599999905,1.34E-06,-3.599999905,1.36E-06,-3.599999905,1.37E-06,-3.599999905,1.44E-06,-3.599999905,1.46E-06,-3.599999905,1.48E-06,-3.599999905,1.52E-06,-3.599999905,1.56E-06,-3.599999905,1.59E-06,-3.599999905,1.62E-06,-3.599999905,1.68E-06,-3.599999905,1.67E-06,-3.599999905,1.73E-06,-3.599999905,1.72E-06,-3.599999905,1.71E-06,-3.599999905,1.76E-06
-3.400000095,2.12E-10,-3.400000095,3.71E-07,-3.400000095,6.61E-07,-3.400000095,9.31E-07,-3.400000095,1.13E-06,-3.400000095,1.26E-06,-3.400000095,1.40E-06,-3.400000095,1.49E-06,-3.400000095,1.55E-06,-3.400000095,1.59E-06,-3.400000095,1.65E-06,-3.400000095,1.68E-06,-3.400000095,1.72E-06,-3.400000095,1.78E-06,-3.400000095,1.84E-06,-3.400000095,1.87E-06,-3.400000095,1.88E-06,-3.400000095,2.01E-06,-3.400000095,2.05E-06,-3.400000095,2.08E-06,-3.400000095,2.11E-06,-3.400000095,2.19E-06,-3.400000095,2.20E-06,-3.400000095,2.23E-06,-3.400000095,2.29E-06,-3.400000095,1.53E-06,-3.400000095,1.69E-06,-3.400000095,1.79E-06,-3.400000095,1.88E-06,-3.400000095,1.95E-06,-3.400000095,2.01E-06,-3.400000095,2.05E-06,-3.400000095,2.09E-06,-3.400000095,2.17E-06,-3.400000095,2.20E-06,-3.400000095,2.23E-06,-3.400000095,2.29E-06,-3.400000095,2.34E-06,-3.400000095,2.36E-06,-3.400000095,2.41E-06,-3.400000095,2.47E-06,-3.400000095,2.51E-06,-3.400000095,2.56E-06,-3.400000095,2.62E-06,-3.400000095,2.60E-06,-3.400000095,2.71E-06,-3.400000095,2.68E-06,-3.400000095,2.66E-06,-3.400000095,2.75E-06
-3.200000048,3.17E-10,-3.200000048,4.94E-07,-3.200000048,9.54E-07,-3.200000048,1.36E-06,-3.200000048,1.69E-06,-3.200000048,1.94E-06,-3.200000048,2.14E-06,-3.200000048,2.31E-06,-3.200000048,2.40E-06,-3.200000048,2.50E-06,-3.200000048,2.60E-06,-3.200000048,2.65E-06,-3.200000048,2.71E-06,-3.200000048,2.80E-06,-3.200000048,2.87E-06,-3.200000048,2.93E-06,-3.200000048,2.95E-06,-3.200000048,3.10E-06,-3.200000048,3.20E-06,-3.200000048,3.21E-06,-3.200000048,3.27E-06,-3.200000048,3.35E-06,-3.200000048,3.41E-06,-3.200000048,3.43E-06,-3.200000048,3.53E-06,-3.200000048,2.40E-06,-3.200000048,2.63E-06,-3.200000048,2.77E-06,-3.200000048,2.88E-06,-3.200000048,2.97E-06,-3.200000048,3.10E-06,-3.200000048,3.15E-06,-3.200000048,3.23E-06,-3.200000048,3.31E-06,-3.200000048,3.35E-06,-3.200000048,3.38E-06,-3.200000048,3.47E-06,-3.200000048,3.55E-06,-3.200000048,3.58E-06,-3.200000048,3.63E-06,-3.200000048,3.72E-06,-3.200000048,3.78E-06,-3.200000048,3.85E-06,-3.200000048,3.91E-06,-3.200000048,3.91E-06,-3.200000048,4.03E-06,-3.200000048,4.02E-06,-3.200000048,3.98E-06,-3.200000048,4.11E-06
-3,3.10E-10,-3,6.00E-07,-3,1.26E-06,-3,1.84E-06,-3,2.34E-06,-3,2.73E-06,-3,3.05E-06,-3,3.32E-06,-3,3.48E-06,-3,3.65E-06,-3,3.82E-06,-3,3.92E-06,-3,4.01E-06,-3,4.13E-06,-3,4.25E-06,-3,4.32E-06,-3,4.38E-06,-3,4.58E-06,-3,4.69E-06,-3,4.84E-06,-3,4.82E-06,-3,4.94E-06,-3,4.98E-06,-3,4.75E-06,-3,4.90E-06,-3,3.61E-06,-3,3.91E-06,-3,4.13E-06,-3,4.31E-06,-3,4.42E-06,-3,4.53E-06,-3,4.62E-06,-3,4.72E-06,-3,4.84E-06,-3,4.93E-06,-3,4.95E-06,-3,4.70E-06,-3,4.84E-06,-3,4.82E-06,-3,4.91E-06,-3,5.07E-06,-3,5.15E-06,-3,5.18E-06,-3,5.27E-06,-3,5.33E-06,-3,5.42E-06,-3,5.46E-06,-3,5.40E-06,-3,5.54E-06
-2.799999952,4.22E-10,-2.799999952,7.24E-07,-2.799999952,1.56E-06,-2.799999952,2.34E-06,-2.799999952,3.02E-06,-2.799999952,3.59E-06,-2.799999952,4.07E-06,-2.799999952,4.48E-06,-2.799999952,4.78E-06,-2.799999952,4.80E-06,-2.799999952,5.05E-06,-2.799999952,5.24E-06,-2.799999952,5.37E-06,-2.799999952,5.50E-06,-2.799999952,5.63E-06,-2.799999952,5.79E-06,-2.799999952,5.91E-06,-2.799999952,6.14E-06,-2.799999952,6.27E-06,-2.799999952,6.31E-06,-2.799999952,6.41E-06,-2.799999952,6.58E-06,-2.799999952,6.71E-06,-2.799999952,6.83E-06,-2.799999952,7.02E-06,-2.799999952,4.88E-06,-2.799999952,5.30E-06,-2.799999952,5.55E-06,-2.799999952,5.75E-06,-2.799999952,5.86E-06,-2.799999952,6.07E-06,-2.799999952,6.24E-06,-2.799999952,6.29E-06,-2.799999952,6.36E-06,-2.799999952,6.45E-06,-2.799999952,6.59E-06,-2.799999952,6.74E-06,-2.799999952,6.92E-06,-2.799999952,6.92E-06,-2.799999952,7.03E-06,-2.799999952,7.26E-06,-2.799999952,7.24E-06,-2.799999952,7.34E-06,-2.799999952,7.48E-06,-2.799999952,7.57E-06,-2.799999952,7.67E-06,-2.799999952,7.73E-06,-2.799999952,7.59E-06,-2.799999952,7.77E-06
-2.599999905,4.25E-10,-2.599999905,8.31E-07,-2.599999905,1.83E-06,-2.599999905,2.80E-06,-2.599999905,3.67E-06,-2.599999905,4.46E-06,-2.599999905,4.96E-06,-2.599999905,5.52E-06,-2.599999905,5.96E-06,-2.599999905,6.45E-06,-2.599999905,6.87E-06,-2.599999905,7.14E-06,-2.599999905,7.37E-06,-2.599999905,7.61E-06,-2.599999905,7.81E-06,-2.599999905,8.03E-06,-2.599999905,8.23E-06,-2.599999905,8.53E-06,-2.599999905,8.72E-06,-2.599999905,8.79E-06,-2.599999905,8.93E-06,-2.599999905,9.13E-06,-2.599999905,9.26E-06,-2.599999905,9.46E-06,-2.599999905,9.67E-06,-2.599999905,6.93E-06,-2.599999905,7.50E-06,-2.599999905,7.76E-06,-2.599999905,8.04E-06,-2.599999905,8.18E-06,-2.599999905,8.50E-06,-2.599999905,8.70E-06,-2.599999905,8.72E-06,-2.599999905,8.85E-06,-2.599999905,8.99E-06,-2.599999905,9.12E-06,-2.599999905,9.32E-06,-2.599999905,9.54E-06,-2.599999905,9.55E-06,-2.599999905,9.69E-06,-2.599999905,9.94E-06,-2.599999905,1.00E-05,-2.599999905,1.01E-05,-2.599999905,1.02E-05,-2.599999905,1.03E-05,-2.599999905,1.04E-05,-2.599999905,1.05E-05,-2.599999905,1.04E-05,-2.599999905,1.06E-05
-2.400000095,2.18E-09,-2.400000095,9.27E-07,-2.400000095,2.08E-06,-2.400000095,3.22E-06,-2.400000095,4.29E-06,-2.400000095,5.16E-06,-2.400000095,6.05E-06,-2.400000095,6.83E-06,-2.400000095,7.46E-06,-2.400000095,8.13E-06,-2.400000095,8.71E-06,-2.400000095,9.18E-06,-2.400000095,9.56E-06,-2.400000095,9.93E-06,-2.400000095,1.03E-05,-2.400000095,1.06E-05,-2.400000095,1.09E-05,-2.400000095,1.12E-05,-2.400000095,1.15E-05,-2.400000095,1.16E-05,-2.400000095,1.19E-05,-2.400000095,1.21E-05,-2.400000095,1.23E-05,-2.400000095,1.25E-05,-2.400000095,1.28E-05,-2.400000095,9.44E-06,-2.400000095,1.02E-05,-2.400000095,1.05E-05,-2.400000095,1.08E-05,-2.400000095,1.10E-05,-2.400000095,1.14E-05,-2.400000095,1.16E-05,-2.400000095,1.17E-05,-2.400000095,1.19E-05,-2.400000095,1.21E-05,-2.400000095,1.22E-05,-2.400000095,1.24E-05,-2.400000095,1.27E-05,-2.400000095,1.27E-05,-2.400000095,1.29E-05,-2.400000095,1.32E-05,-2.400000095,1.32E-05,-2.400000095,1.34E-05,-2.400000095,1.35E-05,-2.400000095,1.36E-05,-2.400000095,1.37E-05,-2.400000095,1.39E-05,-2.400000095,1.38E-05,-2.400000095,1.40E-05
-2.200000048,3.03E-09,-2.200000048,1.01E-06,-2.200000048,2.29E-06,-2.200000048,3.60E-06,-2.200000048,4.84E-06,-2.200000048,5.96E-06,-2.200000048,7.03E-06,-2.200000048,8.03E-06,-2.200000048,8.91E-06,-2.200000048,9.75E-06,-2.200000048,1.05E-05,-2.200000048,1.12E-05,-2.200000048,1.18E-05,-2.200000048,1.23E-05,-2.200000048,1.28E-05,-2.200000048,1.33E-05,-2.200000048,1.37E-05,-2.200000048,1.42E-05,-2.200000048,1.46E-05,-2.200000048,1.48E-05,-2.200000048,1.51E-05,-2.200000048,1.55E-05,-2.200000048,1.57E-05,-2.200000048,1.60E-05,-2.200000048,1.63E-05,-2.200000048,1.25E-05,-2.200000048,1.34E-05,-2.200000048,1.37E-05,-2.200000048,1.41E-05,-2.200000048,1.44E-05,-2.200000048,1.49E-05,-2.200000048,1.51E-05,-2.200000048,1.52E-05,-2.200000048,1.54E-05,-2.200000048,1.58E-05,-2.200000048,1.59E-05,-2.200000048,1.61E-05,-2.200000048,1.65E-05,-2.200000048,1.65E-05,-2.200000048,1.67E-05,-2.200000048,1.71E-05,-2.200000048,1.71E-05,-2.200000048,1.73E-05,-2.200000048,1.74E-05,-2.200000048,1.74E-05,-2.200000048,1.78E-05,-2.200000048,1.79E-05,-2.200000048,1.77E-05,-2.200000048,1.82E-05
-2,3.12E-09,-2,1.08E-06,-2,2.48E-06,-2,3.93E-06,-2,5.29E-06,-2,6.65E-06,-2,7.89E-06,-2,9.08E-06,-2,1.02E-05,-2,1.12E-05,-2,1.22E-05,-2,1.31E-05,-2,1.39E-05,-2,1.46E-05,-2,1.53E-05,-2,1.60E-05,-2,1.65E-05,-2,1.71E-05,-2,1.77E-05,-2,1.81E-05,-2,1.85E-05,-2,1.89E-05,-2,1.94E-05,-2,1.97E-05,-2,2.02E-05,-2,1.59E-05,-2,1.69E-05,-2,1.74E-05,-2,1.79E-05,-2,1.82E-05,-2,1.87E-05,-2,1.91E-05,-2,1.92E-05,-2,1.95E-05,-2,1.99E-05,-2,2.02E-05,-2,2.04E-05,-2,2.08E-05,-2,2.08E-05,-2,2.11E-05,-2,2.15E-05,-2,2.16E-05,-2,2.18E-05,-2,2.20E-05,-2,2.21E-05,-2,2.23E-05,-2,2.26E-05,-2,2.24E-05,-2,2.29E-05
-1.799999952,3.61E-09,-1.799999952,1.14E-06,-1.799999952,2.65E-06,-1.799999952,4.22E-06,-1.799999952,5.74E-06,-1.799999952,7.24E-06,-1.799999952,8.65E-06,-1.799999952,1.00E-05,-1.799999952,1.13E-05,-1.799999952,1.25E-05,-1.799999952,1.37E-05,-1.799999952,1.47E-05,-1.799999952,1.57E-05,-1.799999952,1.67E-05,-1.799999952,1.76E-05,-1.799999952,1.84E-05,-1.799999952,1.92E-05,-1.799999952,1.99E-05,-1.799999952,2.07E-05,-1.799999952,2.13E-05,-1.799999952,2.19E-05,-1.799999952,2.25E-05,-1.799999952,2.30E-05,-1.799999952,2.34E-05,-1.799999952,2.41E-05,-1.799999952,1.96E-05,-1.799999952,2.07E-05,-1.799999952,2.14E-05,-1.799999952,2.20E-05,-1.799999952,2.23E-05,-1.799999952,2.31E-05,-1.799999952,2.34E-05,-1.799999952,2.37E-05,-1.799999952,2.41E-05,-1.799999952,2.45E-05,-1.799999952,2.48E-05,-1.799999952,2.52E-05,-1.799999952,2.56E-05,-1.799999952,2.57E-05,-1.799999952,2.60E-05,-1.799999952,2.65E-05,-1.799999952,2.67E-05,-1.799999952,2.69E-05,-1.799999952,2.72E-05,-1.799999952,2.73E-05,-1.799999952,2.75E-05,-1.799999952,2.78E-05,-1.799999952,2.78E-05,-1.799999952,2.82E-05
-1.600000024,3.77E-09,-1.600000024,1.19E-06,-1.600000024,2.79E-06,-1.600000024,4.48E-06,-1.600000024,6.13E-06,-1.600000024,7.77E-06,-1.600000024,9.33E-06,-1.600000024,1.08E-05,-1.600000024,1.23E-05,-1.600000024,1.37E-05,-1.600000024,1.50E-05,-1.600000024,1.62E-05,-1.600000024,1.74E-05,-1.600000024,1.86E-05,-1.600000024,1.97E-05,-1.600000024,2.07E-05,-1.600000024,2.17E-05,-1.600000024,2.26E-05,-1.600000024,2.35E-05,-1.600000024,2.43E-05,-1.600000024,2.51E-05,-1.600000024,2.58E-05,-1.600000024,2.65E-05,-1.600000024,2.71E-05,-1.600000024,2.79E-05,-1.600000024,2.35E-05,-1.600000024,2.48E-05,-1.600000024,2.56E-05,-1.600000024,2.62E-05,-1.600000024,2.68E-05,-1.600000024,2.76E-05,-1.600000024,2.80E-05,-1.600000024,2.83E-05,-1.600000024,2.89E-05,-1.600000024,2.94E-05,-1.600000024,2.98E-05,-1.600000024,3.03E-05,-1.600000024,3.07E-05,-1.600000024,3.10E-05,-1.600000024,3.13E-05,-1.600000024,3.19E-05,-1.600000024,3.22E-05,-1.600000024,3.25E-05,-1.600000024,3.28E-05,-1.600000024,3.28E-05,-1.600000024,3.33E-05,-1.600000024,3.36E-05,-1.600000024,3.36E-05,-1.600000024,3.41E-05
-1.399999976,4.14E-09,-1.399999976,1.24E-06,-1.399999976,2.92E-06,-1.399999976,4.70E-06,-1.399999976,6.47E-06,-1.399999976,8.21E-06,-1.399999976,9.88E-06,-1.399999976,1.15E-05,-1.399999976,1.31E-05,-1.399999976,1.46E-05,-1.399999976,1.61E-05,-1.399999976,1.75E-05,-1.399999976,1.89E-05,-1.399999976,2.02E-05,-1.399999976,2.15E-05,-1.399999976,2.27E-05,-1.399999976,2.39E-05,-1.399999976,2.49E-05,-1.399999976,2.61E-05,-1.399999976,2.70E-05,-1.399999976,2.80E-05,-1.399999976,2.89E-05,-1.399999976,2.97E-05,-1.399999976,3.06E-05,-1.399999976,3.15E-05,-1.399999976,2.74E-05,-1.399999976,2.89E-05,-1.399999976,2.99E-05,-1.399999976,3.06E-05,-1.399999976,3.13E-05,-1.399999976,3.22E-05,-1.399999976,3.28E-05,-1.399999976,3.32E-05,-1.399999976,3.40E-05,-1.399999976,3.46E-05,-1.399999976,3.50E-05,-1.399999976,3.57E-05,-1.399999976,3.62E-05,-1.399999976,3.66E-05,-1.399999976,3.70E-05,-1.399999976,3.76E-05,-1.399999976,3.80E-05,-1.399999976,3.84E-05,-1.399999976,3.87E-05,-1.399999976,3.89E-05,-1.399999976,3.93E-05,-1.399999976,3.98E-05,-1.399999976,3.99E-05,-1.399999976,4.04E-05
-1.200000048,1.42E-09,-1.200000048,1.28E-06,-1.200000048,3.03E-06,-1.200000048,4.91E-06,-1.200000048,6.78E-06,-1.200000048,8.60E-06,-1.200000048,1.04E-05,-1.200000048,1.22E-05,-1.200000048,1.39E-05,-1.200000048,1.55E-05,-1.200000048,1.71E-05,-1.200000048,1.87E-05,-1.200000048,2.02E-05,-1.200000048,2.16E-05,-1.200000048,2.31E-05,-1.200000048,2.45E-05,-1.200000048,2.58E-05,-1.200000048,2.71E-05,-1.200000048,2.83E-05,-1.200000048,2.94E-05,-1.200000048,3.06E-05,-1.200000048,3.16E-05,-1.200000048,3.27E-05,-1.200000048,3.37E-05,-1.200000048,3.47E-05,-1.200000048,3.11E-05,-1.200000048,3.28E-05,-1.200000048,3.38E-05,-1.200000048,3.48E-05,-1.200000048,3.56E-05,-1.200000048,3.67E-05,-1.200000048,3.74E-05,-1.200000048,3.79E-05,-1.200000048,3.88E-05,-1.200000048,3.96E-05,-1.200000048,4.02E-05,-1.200000048,4.10E-05,-1.200000048,4.17E-05,-1.200000048,4.21E-05,-1.200000048,4.27E-05,-1.200000048,4.33E-05,-1.200000048,4.39E-05,-1.200000048,4.43E-05,-1.200000048,4.48E-05,-1.200000048,4.50E-05,-1.200000048,4.56E-05,-1.200000048,4.62E-05,-1.200000048,4.62E-05,-1.200000048,4.70E-05
-1,6.81E-10,-1,1.31E-06,-1,3.13E-06,-1,5.08E-06,-1,7.02E-06,-1,8.95E-06,-1,1.09E-05,-1,1.27E-05,-1,1.45E-05,-1,1.63E-05,-1,1.80E-05,-1,1.97E-05,-1,2.13E-05,-1,2.29E-05,-1,2.45E-05,-1,2.60E-05,-1,2.76E-05,-1,2.89E-05,-1,3.03E-05,-1,3.16E-05,-1,3.29E-05,-1,3.41E-05,-1,3.53E-05,-1,3.65E-05,-1,3.78E-05,-1,3.46E-05,-1,3.64E-05,-1,3.76E-05,-1,3.87E-05,-1,3.97E-05,-1,4.09E-05,-1,4.18E-05,-1,4.25E-05,-1,4.36E-05,-1,4.45E-05,-1,4.52E-05,-1,4.61E-05,-1,4.69E-05,-1,4.76E-05,-1,4.82E-05,-1,4.91E-05,-1,4.97E-05,-1,4.95E-05,-1,5.00E-05,-1,5.02E-05,-1,5.10E-05,-1,5.16E-05,-1,5.19E-05,-1,5.27E-05
-0.800000012,6.20E-10,-0.800000012,1.34E-06,-0.800000012,3.22E-06,-0.800000012,5.24E-06,-0.800000012,7.26E-06,-0.800000012,9.25E-06,-0.800000012,1.12E-05,-0.800000012,1.32E-05,-0.800000012,1.51E-05,-0.800000012,1.70E-05,-0.800000012,1.88E-05,-0.800000012,2.06E-05,-0.800000012,2.23E-05,-0.800000012,2.40E-05,-0.800000012,2.58E-05,-0.800000012,2.74E-05,-0.800000012,2.91E-05,-0.800000012,3.05E-05,-0.800000012,3.21E-05,-0.800000012,3.36E-05,-0.800000012,3.50E-05,-0.800000012,3.64E-05,-0.800000012,3.77E-05,-0.800000012,3.91E-05,-0.800000012,4.04E-05,-0.800000012,3.78E-05,-0.800000012,3.96E-05,-0.800000012,4.10E-05,-0.800000012,4.24E-05,-0.800000012,4.35E-05,-0.800000012,4.49E-05,-0.800000012,4.58E-05,-0.800000012,4.67E-05,-0.800000012,4.80E-05,-0.800000012,4.91E-05,-0.800000012,4.99E-05,-0.800000012,5.05E-05,-0.800000012,5.15E-05,-0.800000012,5.23E-05,-0.800000012,5.30E-05,-0.800000012,5.40E-05,-0.800000012,5.46E-05,-0.800000012,5.57E-05,-0.800000012,5.62E-05,-0.800000012,5.66E-05,-0.800000012,5.73E-05,-0.800000012,5.81E-05,-0.800000012,5.85E-05,-0.800000012,5.95E-05
-0.600000024,3.59E-09,-0.600000024,1.37E-06,-0.600000024,3.29E-06,-0.600000024,5.38E-06,-0.600000024,7.47E-06,-0.600000024,9.54E-06,-0.600000024,1.16E-05,-0.600000024,1.36E-05,-0.600000024,1.56E-05,-0.600000024,1.76E-05,-0.600000024,1.95E-05,-0.600000024,2.14E-05,-0.600000024,2.33E-05,-0.600000024,2.51E-05,-0.600000024,2.69E-05,-0.600000024,2.87E-05,-0.600000024,3.04E-05,-0.600000024,3.20E-05,-0.600000024,3.38E-05,-0.600000024,3.53E-05,-0.600000024,3.69E-05,-0.600000024,3.83E-05,-0.600000024,3.99E-05,-0.600000024,4.14E-05,-0.600000024,4.29E-05,-0.600000024,4.06E-05,-0.600000024,4.25E-05,-0.600000024,4.41E-05,-0.600000024,4.56E-05,-0.600000024,4.70E-05,-0.600000024,4.85E-05,-0.600000024,4.95E-05,-0.600000024,5.06E-05,-0.600000024,5.18E-05,-0.600000024,5.32E-05,-0.600000024,5.42E-05,-0.600000024,5.53E-05,-0.600000024,5.64E-05,-0.600000024,5.74E-05,-0.600000024,5.82E-05,-0.600000024,5.94E-05,-0.600000024,6.02E-05,-0.600000024,6.13E-05,-0.600000024,6.20E-05,-0.600000024,6.25E-05,-0.600000024,6.34E-05,-0.600000024,6.45E-05,-0.600000024,6.49E-05,-0.600000024,6.60E-05
